GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JCoinbase,com.github.badpop.jcoinbase.service.data,DataService,36,143,0,0,3,29,3,14,3,14
JCoinbase,com.github.badpop.jcoinbase.model,ResourceType,0,41,0,0,0,7,0,4,0,4
JCoinbase,com.github.badpop.jcoinbase.model,Pagination.Order,0,34,0,0,0,6,0,4,0,4
JCoinbase,com.github.badpop.jcoinbase.model,PaginatedResponse,0,4,0,0,0,1,0,1,0,1
JCoinbase,com.github.badpop.jcoinbase.service.http,HttpRequestSender,0,63,0,0,0,12,0,9,0,9
JCoinbase,com.github.badpop.jcoinbase.service.http,JsonDeserializationService,0,106,1,9,0,23,1,13,0,9
JCoinbase,com.github.badpop.jcoinbase.service.http,Headers,0,45,0,0,0,7,0,1,0,1
JCoinbase,com.github.badpop.jcoinbase.service.http,JsonDeserializationService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
JCoinbase,com.github.badpop.jcoinbase.service.http,JsonDeserializationService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
JCoinbase,com.github.badpop.jcoinbase.service.http,JsonDeserializationService.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
JCoinbase,com.github.badpop.jcoinbase,JCoinbaseProperties,37,133,1,1,5,33,4,6,3,6
JCoinbase,com.github.badpop.jcoinbase,JCoinbaseClientFactory,0,53,0,6,0,12,0,7,0,4
JCoinbase,com.github.badpop.jcoinbase,JCoinbaseClient,20,138,0,4,4,42,1,14,1,12
JCoinbase,com.github.badpop.jcoinbase,JCoinbasePropertiesFactory,0,35,0,4,0,8,0,6,0,4
JCoinbase,com.github.badpop.jcoinbase.control,CallResult,11,376,1,45,3,91,1,52,0,30
JCoinbase,com.github.badpop.jcoinbase.control,CallResult.SuccessProjection,0,184,0,22,0,42,0,29,0,18
JCoinbase,com.github.badpop.jcoinbase.control,CallResult.Failure,0,39,0,6,0,10,0,10,0,7
JCoinbase,com.github.badpop.jcoinbase.control,CallResult.FailureProjection,0,220,0,32,0,49,0,34,0,18
JCoinbase,com.github.badpop.jcoinbase.control,CallResult.Success,0,39,0,6,0,10,0,10,0,7
JCoinbase,com.github.badpop.jcoinbase.control,FunctionalValue,8,182,3,29,1,35,3,32,0,19
JCoinbase,com.github.badpop.jcoinbase.service.auth,AuthenticationService,9,140,4,10,1,25,4,8,0,5
